model_id,model_alias,context_len,mode,prefill_compute_units,decode_compute_units,scenario_label,n_runs,ttft_ms_mean,ttft_ms_std,tokens_per_sec_mean,tokens_per_sec_std,tpot_ms_mean_mean,tpot_ms_mean_std,effective_TFLOPS_prefill_mean,effective_TFLOPS_prefill_std,effective_TFLOPS_decode_mean,effective_TFLOPS_decode_std,peak_rss_mb_mean,peak_rss_mb_std,ttft_ms_ci95,tokens_per_sec_ci95,error_count
openai-community/gpt2,gpt2,128,split,CPU_AND_NE,CPU_AND_GPU,NE→GPU,10,17.741625400000327,0.8813012402063362,91.01033581992495,2.5582007023897457,10.995549474999965,0.3079627872012624,3.40902432308497,0.17595305679736364,0.015885948768117154,0.00044653659313086043,854.4875,5.725296040987269,0.5462361678615039,1.5855892225532515,0
openai-community/gpt2,gpt2,128,split,CPU_AND_GPU,CPU_AND_NE,GPU→NE,10,39.43452479999969,3.4912966289926084,90.69682280323397,5.302461784644538,11.061351328125022,0.6774074292106909,0.7889362564719394,0.08648335780976812,0.015831224745000205,0.0009255502190699611,802.4953125,4.194025090849308,2.163928069637362,3.2864998633136855,0
openai-community/gpt2,gpt2,256,whole,CPU_ONLY,CPU_ONLY,CPU,10,76.15318759999994,5.271337050673222,47.83885476934363,1.3009063700292396,20.91811169374997,0.5968819846793875,0.8524463954032683,0.0640521815724486,0.008576053889801677,0.00023321300622159734,959.934375,0.009882117688024751,3.2672085533341124,0.8063101217751832,0
openai-community/gpt2,gpt2,256,whole,CPU_AND_GPU,CPU_AND_GPU,GPU,10,78.64320829999959,6.982497324497913,45.53699088857458,1.6842687048199074,21.988816528125,0.8608568065603949,0.8143800486227161,0.11156476439840826,0.008163399598982117,0.0003019382309021809,1163.8328125,0.05210936849282921,4.327796679083264,1.0439205585986537,0
openai-community/gpt2,gpt2,256,whole,CPU_AND_NE,CPU_AND_NE,NE,10,33.85505440000163,1.2859473962985972,51.30812525457505,1.9905994789306407,19.51711159375002,0.7740506912436703,3.466246539110645,0.15675799734371365,0.009197988732997577,0.0003568540360472881,491.2703125,1.415269109973719,0.7970384537994807,1.233786339462778,0
openai-community/gpt2,gpt2,256,whole,ALL,ALL,ALL,10,33.20914590000008,0.9743080679401884,51.97014776025377,1.182877443715487,19.25092788124992,0.44496058570329533,3.4942672716747296,0.10631984027540406,0.009316669263966317,0.00021205400403597575,855.5703125,10.429947913415596,0.6038823969243389,0.7331550353357986,0
openai-community/gpt2,gpt2,256,split,CPU_AND_NE,CPU_AND_GPU,NE→GPU,10,33.97552920000013,2.0803986573141313,51.87964377399116,1.224289915777448,19.28536637812494,0.47021108101192144,3.4631170747944773,0.20072021174907356,0.009300444647654487,0.00021947800266273318,914.321875,0.05166498653182284,1.289444446860679,0.7588227514455603,0
openai-community/gpt2,gpt2,256,split,CPU_AND_GPU,CPU_AND_NE,GPU→NE,10,66.42546689999999,2.9964353664840804,53.644173083087615,0.7455400006188565,18.644632046875,0.2621372798502472,0.9792617439272402,0.06098828845114382,0.009616771167549422,0.00013365268155222208,886.3296875,2.1383294412880653,1.8572098814359292,0.46209047978891,0
openai-community/gpt2,gpt2,512,whole,CPU_ONLY,CPU_ONLY,CPU,10,122.150562499999,7.835599795887408,32.27783931864608,0.7740752415918556,30.998042328125088,0.7892796370776897,1.0831644812514845,0.06082860090393323,0.006091048285181312,0.00014607327418522973,1077.74375,0.0691748238162342,4.85655506895671,0.4797768053799707,0
openai-community/gpt2,gpt2,512,whole,CPU_AND_GPU,CPU_AND_GPU,GPU,10,124.10921659999978,7.39127820579824,30.291405979815863,0.37688981706295077,33.01732025624987,0.4158916982617654,1.0504164153774893,0.08300582448917895,0.005716194774614412,7.112167736077214e-05,1193.6984375,0.9040337483906117,4.581161694255899,0.2335987287732515,0
openai-community/gpt2,gpt2,512,whole,CPU_AND_NE,CPU_AND_NE,NE,10,70.41910819999977,2.268540649671934,28.891052638380593,0.3059897486054448,34.61632421250006,0.37056482027898396,2.7836251572054893,0.08801292678361265,0.0054519385542772004,5.7742351187973854e-05,600.615625,0.4986526986679985,1.4060560618577176,0.1896544110660852,0
openai-community/gpt2,gpt2,512,whole,ALL,ALL,ALL,10,68.61346239999939,2.5392001379195426,30.14529074702648,0.3513382217580902,33.176778674999966,0.3910355139710621,2.8078015543420682,0.0982286065476711,0.005688621834265628,6.629991716707091e-05,1022.9984375,0.48588195243432164,1.5738125506845297,0.2177616859264631,0
openai-community/gpt2,gpt2,512,split,CPU_AND_NE,CPU_AND_GPU,NE→GPU,10,67.72010430000037,0.7479477488852115,30.07601021822264,0.4622836234198717,33.25628685937511,0.520204955133291,2.8484297585774683,0.029587361593468735,0.005675548126264259,8.723607066450707e-05,984.7359375,0.13185418147941758,0.4635828176254941,0.28652635830046086,0
openai-community/gpt2,gpt2,512,split,CPU_AND_GPU,CPU_AND_NE,GPU→NE,10,124.00170429999946,8.746447971117133,28.469794932286383,0.1521027692784324,35.12585468750001,0.18905476514069947,1.087766159867197,0.09783228015647272,0.0053724443538447,2.8702829295315504e-05,1013.1921875,0.5388070550156745,5.421104616878197,0.09427427311043046,0
openai-community/gpt2,gpt2,1024,whole,CPU_ONLY,CPU_ONLY,CPU,10,384.4745457000018,6.040001124637906,14.221295058059036,0.2298607913541526,70.33384362187508,1.1522247053534955,0.6900693491371317,0.015040775725930024,0.0029520732661652434,4.771477522447203e-05,1405.2890625,0.008235098073271078,3.7436314822715286,0.1424691945077809,0
openai-community/gpt2,gpt2,1024,whole,CPU_AND_GPU,CPU_AND_GPU,GPU,10,234.72142490000056,18.88976552904677,15.943533527914832,0.4313809296396831,62.765199971875106,1.8010196791129645,1.2205295515543866,0.10361689075147475,0.0033095775668682574,8.954656412962606e-05,1476.196875,1.352346533190838,11.707997973511375,0.2673726702571585,0
openai-community/gpt2,gpt2,1024,whole,CPU_AND_NE,CPU_AND_NE,NE,10,166.14027920000007,1.7522797434863588,15.28401790478527,0.09162384028437563,65.4299622374999,0.396730739370811,2.117319283486787,0.034574526201109956,0.0031726745329525253,1.9019385248857716e-05,935.4140625,0.07411588266019323,1.0860742370897265,0.05678904456094267,0
openai-community/gpt2,gpt2,1024,whole,ALL,ALL,ALL,10,171.35465420000048,9.604249908599966,15.025445128783309,0.7684293912327588,66.72042123125009,3.6232877661372367,2.0489387588868193,0.05136183056033934,0.003118999689959872,0.00015951148285249533,1364.440625,0.4044967509483498,5.952775766013417,0.4762774710731796,0
openai-community/gpt2,gpt2,1024,split,CPU_AND_NE,CPU_AND_GPU,NE→GPU,10,166.73316660000114,3.5468351583177067,15.582374795523453,0.43076697922270185,64.21995757812506,1.8045252644998768,2.0719462880423545,0.05454526661304085,0.0032346078095865163,8.941911957515192e-05,1309.475,0.26944757658546914,2.198351206747779,0.2669921398462965,0
openai-community/gpt2,gpt2,1024,split,CPU_AND_GPU,CPU_AND_NE,GPU→NE,10,240.27356269999896,5.266698409464722,14.30156297843656,0.28710828232557867,69.94810064062513,1.4211973528057364,1.2181222541605887,0.03888469857578262,0.0029687353761144284,5.959827718134993e-05,1301.415625,0.6430214323799892,3.264333493726549,0.1779515570205085,0
openai-community/gpt2,gpt2,2048,NA,NA,NA,unknown,0,,,,,,,,,,,,,,,1
openai-community/gpt2,gpt2,4096,NA,NA,NA,unknown,0,,,,,,,,,,,,,,,1
